,DAYS_SINCE_START
0,127
1,127
2,127
3,127
4,127
5,127
6,127
7,127
8,127
9,126
10,126
11,126
12,126
13,124
14,122
15,122
16,122
17,122
18,122
19,120
20,120
21,120
22,120
23,120
24,120
25,120
26,120
27,117
28,117
29,117
30,117
31,116
32,116
33,116
34,116
35,105
36,105
37,105
38,105
39,105
40,105
41,103
42,103
43,103
44,103
45,103
46,103
47,103
48,103
49,103
50,103
51,103
52,103
53,103
54,103
55,102
56,102
57,102
58,102
59,102
60,102
61,102
62,102
63,102
64,102
65,102
66,102
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,97
81,97
82,97
83,97
84,97
85,97
86,97
87,97
88,97
89,97
90,95
91,95
92,95
93,95
94,95
95,95
96,95
97,92
98,92
99,92
100,92
101,92
102,92
103,92
104,92
105,92
106,92
107,92
108,88
109,88
110,88
111,88
112,88
113,88
114,88
115,88
116,88
117,87
118,87
119,87
120,87
121,85
122,85
123,83
124,83
125,83
126,83
127,83
128,83
129,83
130,83
131,83
132,83
133,83
134,83
135,81
136,81
137,81
138,81
139,81
140,81
141,81
142,81
143,81
144,81
145,81
146,81
147,78
148,78
149,78
150,78
151,74
152,74
153,74
154,74
155,74
156,74
157,74
158,74
159,72
160,72
161,72
162,72
163,72
164,71
165,71
166,71
167,71
168,71
169,69
170,69
171,67
172,67
173,67
174,67
175,66
176,66
177,66
178,64
179,64
180,64
181,64
182,64
183,64
184,64
185,62
186,62
187,62
188,62
189,62
190,62
191,62
192,60
193,60
194,60
195,59
196,59
197,59
198,59
199,59
200,59
201,59
202,59
203,59
204,56
205,56
206,56
207,56
208,56
209,55
210,55
211,55
212,55
213,55
214,53
215,53
216,53
217,53
218,52
219,52
220,52
221,50
222,50
223,50
224,50
225,50
226,48
227,48
228,48
229,48
230,48
231,48
232,46
233,46
234,46
235,46
236,46
237,46
238,46
239,45
240,45
241,43
242,43
243,43
244,43
245,38
246,38
247,36
248,36
249,36
250,36
251,36
252,36
253,36
254,36
255,32
256,32
257,32
258,32
259,32
260,32
261,31
262,31
263,31
264,31
265,31
266,31
267,31
268,31
269,31
270,31
271,31
272,31
273,29
274,29
275,29
276,29
277,29
278,29
279,29
280,29
281,29
282,29
283,29
284,29
285,29
286,29
287,29
288,29
289,27
290,27
291,27
292,27
293,27
294,27
295,27
296,27
297,27
298,26
299,26
300,26
301,26
302,26
303,24
304,24
305,24
306,24
307,24
308,22
309,22
310,22
311,22
312,22
313,22
314,22
315,20
316,20
317,20
318,20
319,18
320,18
321,18
322,18
323,18
324,18
325,18
326,18
327,18
328,18
329,18
330,18
331,17
332,17
333,17
334,17
335,17
336,17
337,17
338,17
339,14
340,14
341,14
342,14
343,14
344,14
345,14
346,12
347,12
348,12
349,10
350,10
351,10
352,10
353,8
354,8
355,7
356,7
357,7
358,7
359,7
360,5
361,5
362,5
363,5
364,4
365,4
366,4
367,4
368,1
369,1
370,1
371,1
372,127
373,126
374,124
375,124
376,124
377,88
378,88
379,87
380,87
381,87
382,87
383,87
384,87
385,85
386,85
387,85
388,85
389,85
390,85
391,85
392,85
393,85
394,85
395,83
396,83
397,83
398,81
399,81
400,81
401,81
402,81
403,81
404,81
405,78
406,78
407,78
408,78
409,78
410,78
411,74
412,74
413,74
414,74
415,74
416,74
417,74
418,72
419,72
420,72
421,72
422,72
423,71
424,69
425,69
426,69
427,69
428,69
429,64
430,64
431,62
432,62
433,59
434,59
435,56
436,56
437,55
438,55
439,55
440,53
441,52
442,52
443,48
444,46
445,46
